# 开关特性 电压/V
0       .5      .8      1.      1.1     1.2     1.3     1.4     1.5     1.6     1.7     1.8     2.      3.      4.      5.      6.
# 透过率 %, three data
100     99.9    99.8    95.8    86.3    70.7    52.9    36.5    23.8    15.1    9.5     6.5     4.3     4.9     4.4     4.      3.6
100     100     99.8    95.8    86.4    70.8    52.3    36.5    23.5    15.0    9.6     6.6     4.3     4.9     4.4     4.      3.6
100     100     99.8    95.9    86.3    70.2    52.2    35.9    23.6    14.7    9.5     6.5     4.3     4.9     4.4     4.      3.6

# 视角特性
# 水平
# 正角度, Tmax, Tmin
0       5       10      15      20      25      30      35      40      45      50      55      60      65      70      75
100     99.8    99.8    99.8    99.9    99.8    99.2    97.8    95.9    93.     88.6    82.8    75.6    66.6    54.3    41.
4.3     4.3     4.3     4.3     4.3     4.4     4.5     4.5     4.5     4.3     4.0     4.0     4.0     3.9     3.5     2.7
# 负角度
0       5       10      15      20      25      30      35      40      45      50      55      60      65      70      75
100     100     101     102     102     102     102     101     100     97.2    94.     88.4    81.1    71.5    57.8    43.7
4.3     4.3     4.3     4.3     4.4     4.5     4.7     4.9     4.9     4.8     4.7     4.4     4.2     4.      3.6     2.8

# 竖直
# 正角度, Tmax, Tmin
0       5       10      15      20      25      30      35      40      45      50      55      60      65      70      75
100     99.4    98.3    96.7    94.4    91.9    89.1    85.5    82.7    79.6    77.1    74.8    71.3    66.     58.1    45.2
4.5     4.7     7.1     11.9    19.0    27.5    37.3    47.4    57.2    64.7    70.6    72.9    72.     67.5    59.4    45.2
# 负角度
0       5       10      15      20      25      30      35      40      45      50      55      60      65      70      75
99.9    100     99.9    99.4    98.1    96.8    95.4    93.3    91.3    89.1    86.9    84.2    79.5    73.4    63.1    50.3
4.4     6.      9.2     14.7    21.3    29.2    39.7    50.8    61.8    71.2    79.1    82.3    80.8    75.6    65.1    50.9
